created_at,id,user id,full_text,localidad,retweet_count,favorite_count,clasification,tidy_text
12/10/2020 01:31,1.32E+18,9.88467E+17,"Slim es de los principales beneficiados por AMLO,  siempre con su mascota López Obrador. Ridículo creer que la 4T es un gobierno para los trabajadores. 
https://t.co/PA1aNz2rd5","Xochimilco, Distrito Federal",0,0,0,slim principales beneficiados amlo siempre mascota lopez obrador. ridiculo creer 4t gobierno trabajadores. https://t.co/pa1anz2rd5
12/10/2020 02:30,1.32E+18,1.14723E+18,"¡ESTO NO LO VISTE DE @lopezobrador_  EN VERDAD LL0RÓ!, AL DAR ESTE MENSAJE ROMPE EN LLANTO 
EL PRESIDENTE  ANDRÉS MANUEL LÓPEZ OBRADOR .
DE MÉXICO.🇲🇽👇🥺 Viva #AMLO 👉@fernandeznorona 
Dios los bendiga.
https://t.co/xBWpvRr3CV",Aquí! en mi México Querido.,0,0,1,viste @lopezobrador_ verdad ll0ro dar mensaje rompe llanto presidente andres manuel lopez obrador mexico.🇲🇽👇🥺 viva #amlo 👉@fernandeznorona dios bendiga. https://t.co/xbwpvrr3cv
19/10/2020 12:08,1.32E+18,1.10278E+18,▶️ Sigue la conferencia diaria del presidente López Obrador | Lunes 19 de octubre de 2020 https://t.co/n0sijfP2RZ,"Querétaro, Querétaro Arteaga",0,0,2,▶️ sigue conferencia diaria presidente lopez obrador lunes octubre https://t.co/n0sijfp2rz
19/10/2020 12:08,1.32E+18,2374582850.0,#EnPortada | Ante represión violenta en Tabasco; AMLO: “no protesten paisanos”. https://t.co/76wSkiw3qv,Ciudad de México,0,0,2,#enportada represion violenta tabasco amlo: protesten paisanos https://t.co/76wskiw3qv
19/10/2020 12:08,1.32E+18,1.20423E+18,"@Vale___Mx @PartidoMorenaMx Por eso de que voto masivo a Morena, la verdad es que no aplica.
Morena vive por el presidente López Obrador, pero si no está a la altura de lo que EXIGIMOS, simplemente se irá así como llegó.",,0,0,0,@vale___mx @partidomorenamx voto masivo morena verdad aplica. morena vive presidente lopez obrador si altura exigimos simplemente ira asi llego.
19/10/2020 12:08,1.32E+18,194393503.0,"alergia mañanera, me caes mal",alondra's heart,0,0,3,alergia mañanera caes mal
19/10/2020 12:08,1.32E+18,300504997.0,"El ejército mexicano no volverá a operar con la impunidad que estaba acostumbrados. la 4T va por ellos, desafortunadamente muchas serán las consecuencias comenzando por Puebla.
@PonchoPosa
@pueblapreciosa
@PoderPoliticoMx
@InformantePueb
@contracritica
https://t.co/qn7zREx2oO https://t.co/JaDMn3IcdW",Mexico,0,0,1,ejercito mexicano volvera operar impunidad acostumbrados. 4t va desafortunadamente muchas seran consecuencias comenzando puebla. @ponchoposa @pueblapreciosa @poderpoliticomx @informantepueb @contracritica https://t.co/qn7zrex2oo https://t.co/jadmn3icdw
19/10/2020 12:08,1.32E+18,47321452.0,"@JorgeAl18236615 @brozoxmiswebs Ni leer sabes, él no está dando esa proyección. Así es la nota. 🤦‍♂️. Mejor vaya a aplaudir la mañanera, AMLO necesita apapachos.",Mexico Distrito Federal,0,0,0,@jorgeal18236615 @brozoxmiswebs leer sabes dando proyeccion. asi nota. 🤦‍♂️. mejor vaya aplaudir mañanera amlo necesita apapachos.
19/10/2020 12:08,1.32E+18,1.24706E+18,Ya tengo listas las palomitas para ver la mañanera de hoy!!,,0,0,1,listas palomitas ver mañanera hoy
19/10/2020 12:08,1.32E+18,264424780.0,«Andres Manuel López Obrador Presidente de México : !Exigimos cese a los feminicidios en México!» - Подпишите петицию! https://t.co/Xwr647rj7l через @changeorgrus,"Minsk, Belarus",0,0,0,andres manuel lopez obrador presidente mexico exigimos cese feminicidios mexico - подпишите петицию https://t.co/xwr647rj7l через @changeorgrus
